Gene_ID,t_statistic,p_value,Adjusted_p_value,log2_fold_change
ENSG00000164500,0.4628947748173987,0.6494617527442321,1.0,0.11002658642593079
ENSG00000222020,0.2618441133474758,0.7977643011402187,1.0,0.08062592655567136
ENSG00000110013,0.3133570070409978,0.7571536617407569,1.0,0.01685413461027003
ENSG00000268926,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000073060,0.478426882452438,0.6404414549247439,1.0,0.0358516739423352
ENSG00000196758,0.7118716718290722,0.48413957089083703,1.0,0.17504038142963504
ENSG00000046774,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000220256,0.1836415100464756,0.8559823892998804,1.0,0.022214551934409816
ENSG00000171861,-0.7737383897442842,0.44809577570663395,1.0,-0.038875860097337074
ENSG00000188641,0.042105344775108106,0.9667986036053984,1.0,0.00414287964639606
ENSG00000115762,-1.1152931023974824,0.276879153410657,1.0,-0.029017326741747052
ENSG00000157404,0.10995159378219922,0.9134450962203151,1.0,0.015003396190110265
ENSG00000157259,0.0985509720068711,0.9223873279897473,1.0,0.004408425186925528
ENSG00000104731,0.5637971734233751,0.5787988603327616,1.0,0.022568312326698554
ENSG00000064199,-0.03419584526235321,0.9730384018265079,1.0,-0.002506383952432356
ENSG00000132514,0.11717308434644307,0.9085251791712178,1.0,0.036661053475953484
ENSG00000123983,0.1991940535899977,0.8440736130593237,1.0,0.019024922581016884
ENSG00000232325,-0.4472135954999579,0.6636979556894129,1.0,-0.08246216019197299
ENSG00000182150,0.3780882762042793,0.7089913766640956,1.0,0.030863109218280615
ENSG00000242474,-1.4158710566663686,0.17438114311276245,1.0,-0.22499228982540365
ENSG00000109625,0.23684744009075184,0.8158145035227108,1.0,0.06663488933217712
ENSG00000154146,-0.8992409249238171,0.37826191810246534,1.0,-0.19882399982369844
ENSG00000144452,1.9335769506968032,0.06622324584413193,1.0,0.5892570953428495
ENSG00000185811,0.7197689017159608,0.47927723471399597,1.0,0.19123727832103835
ENSG00000167693,-0.09534330056943327,0.9249060898343919,1.0,-0.003396968110180372
ENSG00000240859,0.8689691985528255,0.40110985382426445,1.0,0.15979778156916483
ENSG00000164754,0.10721746244440411,0.9156156911121855,1.0,0.006201704013515305
ENSG00000149091,0.7899130194169529,0.4398128190287214,1.0,0.033890925245957874
ENSG00000140853,0.03988652795511261,0.9688659987043577,1.0,0.0034481352069918353
ENSG00000187013,1.0,0.3331701359154763,1.0,0.0874628412503394
ENSG00000268657,-0.1883739059522369,0.8527020572142867,1.0,-0.022837430985336735
ENSG00000166783,0.49888438457083983,0.6231402536407062,1.0,0.02320357814124231
ENSG00000130414,-0.5630847958886351,0.5791403194366933,1.0,-0.019185676992377266
ENSG00000214842,1.1336762319288123,0.2697005056428789,1.0,0.2977761546271109
ENSG00000169231,0.1720186681540497,0.8654342535126879,1.0,0.011226744278255886
ENSG00000162627,-0.24628355606044658,0.8077504980458725,1.0,-0.01688731260762809
ENSG00000164576,0.11867525621177148,0.906672601551672,1.0,0.012532772214862738
ENSG00000121075,1.7585609833800675,0.09894110409433088,1.0,0.336534744140232
ENSG00000125991,-0.8659276562579669,0.4008163648831504,1.0,-0.03487785362218761
ENSG00000133962,0.738873888978687,0.4678351625349453,1.0,0.07947821896049968
ENSG00000163032,-0.18124194953399478,0.858674709711506,1.0,-0.019499003151227247
ENSG00000177669,-0.4797691973150131,0.6390936749735631,1.0,-0.03419085354357677
ENSG00000242950,0.9928326128666412,0.3319417197053527,1.0,0.08707921363058169
ENSG00000130948,-0.22729735507780857,0.8243526071254468,1.0,-0.05907677927088749
